"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Asco_de_pais: #TourTVE Froome va a ganar el Tour a lo Rajoy: sin rivales dignos, sin atacar, aguantando el tipo y que su equipo le haga…",FALSE,0,NA,2017-07-21 11:06:24,FALSE,NA,"888354468055707649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",2,TRUE,FALSE,NA,NA
"RT @migblah: ha sido un #tdf2017 muy malo, pero no tanto como el del año pasado #TourTVE",FALSE,0,NA,2017-07-21 11:05:17,FALSE,NA,"888354187112841216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",1,TRUE,FALSE,NA,NA
"RT @GeorgeBailey_17: Podio final:
1) Froome.
2) Rigoberto Urán.
3) Bardet.
Landa nada de nada.
#TDF2017 #TourTVE",FALSE,0,NA,2017-07-21 11:04:54,FALSE,NA,"888354089536376832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",1,TRUE,FALSE,NA,NA
"RT @Jose_Manuel31: #Tourtve pues que quieres que os diga. Para mi ha sido un @LeTour aburrido. Ataques a 1 km para meta.. y ni eso en algun…",FALSE,0,NA,2017-07-21 11:02:39,FALSE,NA,"888353525096382464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",2,TRUE,FALSE,NA,NA
"@julienvermote hoy no tira en el peloton , hoy se mete en fuga <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> #TDF2017 #TourTVE",FALSE,1,"julienvermote",2017-07-21 11:02:37,FALSE,NA,"888353513608237056","592654771","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CiclismoaTope12",0,FALSE,FALSE,NA,NA
"Se retira @ondrejcink del @Bahrain_Merida ..... #TourTVE #TDF2017",FALSE,0,NA,2017-07-21 11:01:05,FALSE,NA,"888353129267417089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CiclismoaTope12",0,FALSE,FALSE,NA,NA
"RT @amukike: #TourTVE Q bien vendeis la moto d este Tour pero sea x el recorrido o sea x los corredores ha sido d los q bajan la aficion al…",FALSE,0,NA,2017-07-21 11:00:29,FALSE,NA,"888352979904061443",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",1,TRUE,FALSE,NA,NA
"RT @mianbala: Me gustaba más el ciclismo de los '90. Muchísimo más.
#TourdeFrance #TourdeFrancia2017 #TourTVE",FALSE,0,NA,2017-07-21 10:58:48,FALSE,NA,"888352554681339904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",1,TRUE,FALSE,NA,NA
"RT @PrudenLeonmur: Cuando terminas de ver el #TourTVE y sales a darlo todo con tu bicicleta. 
#alucino #monja #FullGas https://t.co/npuJyNo…",FALSE,0,NA,2017-07-21 10:58:08,FALSE,NA,"888352386326167552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",18,TRUE,FALSE,NA,NA
"RT @sobraopasiego: Pues así se me han quedado las piernas después de la etapa-siesta de hoy #TourTVE #TourdeFrancia2017 https://t.co/Pd0QKV…",FALSE,0,NA,2017-07-21 10:55:56,FALSE,NA,"888351834355752960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","germancitoo",3,TRUE,FALSE,NA,NA
